,X,KNN_Density,Mode
415,173.542,0.09888849333491512,171.342
416,119.897,0.15282658889219589,119.836
417,171.106,0.10266264817685121,171.342
418,191.272,0.0885243965712367,196.009
419,117.821,0.11800912470154007,116.037
420,116.595,0.15330566881437666,116.037
421,126.786,0.07917082181529818,123.592
422,212.618,0.0689252031277431,207.019
423,216.13,0.057563153687173095,207.019
424,95.641,0.20327169864401448,96.882
425,188.699,0.08016016642533064,196.009
426,204.673,0.08768753843454369,207.019
427,189.373,0.07280968799883782,196.009
428,198.152,0.08722201036964913,196.009
429,64.616,0.008079787905567478,79.31
430,194.072,0.10575715513252772,196.009
431,163.015,0.058259953465445546,152.892
432,145.473,0.08942675305052572,140.149
433,207.686,0.10299238185949959,207.019
434,125.127,0.12056327160493864,123.592
435,199.251,0.09380665042248085,196.009
436,83.499,0.044602585388862075,94.192
437,94.831,0.20604923464041983,96.882
438,151.102,0.10849168780084735,152.892
439,196.675,0.09502509422688345,196.009
440,98.604,0.1582229411872675,96.882
441,218.21,0.05198316826598092,207.019
442,145.991,0.08205410302926452,140.149
443,82.617,0.04396887513679283,94.192
444,114.08,0.1380932988707694,116.037
445,116.037,0.19119109951898366,116.037
446,201.976,0.06838553246616787,196.009
447,217.493,0.05415883236590321,207.019
448,215.876,0.053361106722159886,207.019
449,75.91,0.04331249641318402,79.31
450,167.876,0.06409229290177801,171.342
451,95.47,0.20108990729755202,96.882
452,103.549,0.23360332426874508,104.021
453,208.05,0.1069362715428451,207.019
454,156.984,0.09444194068366196,152.892
455,243.525,0.002161521505882056,207.019
456,153.727,0.14512471655328799,152.892
457,118.153,0.11359648868709618,116.037
458,151.16,0.11260754020089261,152.892
459,201.319,0.06785217535091963,196.009
460,154.886,0.1387111652084653,152.892
461,215.684,0.0580635796196834,207.019
462,173.177,0.09938792937573267,171.342
463,116.05,0.19002606397493532,116.037
464,130.931,0.06534348718849432,123.592
465,219.371,0.04406121759826162,207.019
466,97.61,0.2218707296817987,96.882
467,135.389,0.08701629815264468,140.149
468,242.541,0.002373742843536223,207.019
469,215.461,0.05983815932077484,207.019
470,138.614,0.12415814569312829,140.149
471,90.056,0.11672249308973606,94.192
472,204.021,0.07444782975270209,207.019
473,110.244,0.12664479933131526,116.037
474,94.365,0.21061317709767272,94.192
475,93.564,0.18262838775659457,94.192
476,148.035,0.09802349348673166,152.892
477,125.886,0.09028869267751463,123.592
478,194.956,0.11015437143767817,196.009
479,182.768,0.07750457587015881,179.066
480,221.251,0.03461330448891293,207.019
481,107.02,0.19858859116487307,104.021
482,95.738,0.21374056896457083,96.882
483,95.292,0.20019118257936339,96.882
484,181.887,0.091994551346713,179.066
485,48.868,0.0014840807907225205,79.31
486,66.658,0.010493548964851268,79.31
487,77.952,0.04561809877997128,79.31
488,190.631,0.09110812904081701,196.009
489,92.104,0.14512471655328799,94.192
490,188.561,0.0836760635164919,196.009
491,105.057,0.22762368160363539,104.021
492,186.564,0.07716049382716074,179.066
493,128.515,0.08905353105710807,123.592
494,135.103,0.08974852821388463,140.149
495,130.945,0.06504386135224427,123.592
496,230.387,0.01055834380298705,207.019
497,173.852,0.08534659551150296,171.342
498,93.466,0.1843575903061817,94.192
499,196.068,0.11390340239714095,196.009
500,119.188,0.1204795906970961,119.836
501,175.912,0.09386413879277307,179.066
502,79.424,0.047568704073902575,79.31
503,154.745,0.1253922268856999,152.892
504,156.661,0.1082775947345048,152.892
505,85.649,0.04798642943775505,94.192
506,69.164,0.015998762079785348,79.31
507,126.94,0.08107575199381487,123.592
508,68.753,0.015249108521866709,79.31
509,80.994,0.03745614494089774,94.192
510,183.967,0.0918830428098713,179.066
511,97.481,0.21314889985326615,96.882
512,191.684,0.08799996409601415,196.009
513,226.923,0.01582614010207634,207.019
514,211.021,0.08084539054750861,207.019
515,210.802,0.08768753843454369,207.019
516,142.491,0.13070603741643394,140.149
517,161.555,0.06293980764084171,152.892
518,152.878,0.17117750782324384,152.892
519,104.699,0.21473217314971701,104.021
520,117.216,0.11155689245335473,116.037
521,231.563,0.008404458585450301,207.019
522,142.517,0.1310848952972507,140.149
523,74.839,0.03826646192578886,79.31
524,138.263,0.11081540635566317,140.149
525,186.852,0.0836760635164919,179.066
526,68.025,0.013013588424652573,79.31
527,246.624,0.001651381305158777,207.019
528,214.179,0.06069625524134932,207.019
529,140.674,0.14999871001109463,140.149
530,138.374,0.11467615053721739,140.149
531,75.816,0.04505819513722048,79.31
532,101.258,0.1594892261837922,104.021
533,151.186,0.11459852241249302,152.892
534,189.767,0.08353102342209857,196.009
535,148.965,0.08191325779183484,152.892
536,141.266,0.12459678921550013,140.149
537,105.27,0.21513074786332306,104.021
538,71.197,0.022078515617237997,79.31
539,89.733,0.11103707405762073,94.192
540,178.864,0.09759524344206362,179.066
541,96.529,0.19613365645699532,96.882
542,164.602,0.052508609311582626,171.342
543,74.471,0.03619839267553034,79.31
544,229.482,0.01185594701890275,207.019
545,108.463,0.14315472061996293,104.021
546,235.164,0.005166047912749019,207.019
547,154.004,0.12592675797532082,152.892
548,232.158,0.007739417586691842,207.019
549,193.163,0.09426804118269198,196.009
550,104.041,0.2555920995459676,104.021
551,105.903,0.18046254716388682,104.021
552,141.385,0.13349051396383968,140.149
553,195.207,0.09771731377840606,196.009
554,86.494,0.057784763313609565,94.192
555,105.984,0.17462829058636503,104.021
556,161.548,0.06316145438343924,152.892
557,109.194,0.1330041215317176,104.021
558,134.673,0.08011479488729871,140.149
559,216.138,0.057370289361396654,207.019
560,97.034,0.21393833954752775,96.882
561,212.339,0.0672203427040956,207.019
562,156.603,0.11253200269491681,152.892
563,170.712,0.10319098515298428,171.342
564,132.115,0.07664865116769644,140.149
565,171.994,0.09160515685734207,171.342
566,133.786,0.08996401079712055,140.149
567,196.63,0.09244262155811765,196.009
568,196.123,0.11163145010704935,196.009
569,76.478,0.04349334171305047,79.31
570,163.927,0.04958084109038019,171.342
571,99.647,0.14590182208031544,96.882
572,212.66,0.067429969425229,207.019
573,227.922,0.01407164437014614,207.019
574,157.571,0.08768753843454369,152.892
575,213.491,0.062437546843770106,207.019
576,150.51,0.10286029802331341,152.892
577,209.331,0.09668696319398155,207.019
578,120.696,0.15081534546140038,119.836
579,97.661,0.21374056896457083,96.882
580,213.196,0.06694235760942115,207.019
581,194.175,0.1120053619206859,196.009
582,79.951,0.03935198147655014,79.31
583,191.187,0.08529675080793049,196.009
584,196.592,0.09160515685734207,196.009
585,225.007,0.020822531645042427,207.019
586,167.045,0.06157294238619777,171.342
587,162.473,0.058091572185081354,152.892
588,157.111,0.09698830932016042,152.892
589,187.143,0.0813534877379142,179.066
590,192.659,0.08635273590077762,196.009
591,94.596,0.19894305533561216,94.192
592,112.603,0.17462829058636503,116.037
593,134.076,0.08727355240449447,140.149
594,127.923,0.09561366571703121,123.592
595,198.678,0.09193877172007502,196.009
596,143.73,0.11405732589633848,140.149
597,172.735,0.09177173689299903,171.342
598,119.613,0.14668518616036957,119.836
599,113.763,0.17521355466075794,116.037
600,131.353,0.07111111111111111,123.592
601,93.423,0.17773404730285028,94.192
602,219.549,0.040944400615738154,207.019
603,83.265,0.04239003674749897,94.192
604,196.831,0.09306408281065329,196.009
605,74.382,0.03589725401801546,79.31
606,132.756,0.0831940595448164,140.149
607,210.334,0.10033462601120931,207.019
608,153.391,0.16246000843816982,152.892
609,152.169,0.12234090513429223,152.892
610,136.274,0.09249886041403908,140.149
611,144.105,0.10425996847804248,140.149
612,146.139,0.08177277488306631,140.149
613,104.467,0.25379261336598813,104.021
614,206.848,0.10266264817684935,207.019
615,149.053,0.07802503042976255,152.892
616,104.371,0.25175923056337046,104.021
617,152.251,0.12718736836107356,152.892
618,220.753,0.03891843944374515,207.019
619,171.6,0.10686636713448862,171.342
620,197.48,0.0842111219986736,196.009
621,170.61,0.09674711995917422,171.342
622,166.882,0.05957555159960629,171.342
623,56.38,0.002913016307671198,79.31
624,93.082,0.16470947883285564,94.192
625,132.668,0.0854963920522546,140.149
626,153.365,0.1623291242473611,152.892
627,198.957,0.09888849333491512,196.009
628,77.971,0.04599060991321165,79.31
629,158.239,0.07522577511886364,152.892
630,211.963,0.06557796318125253,207.019
631,102.747,0.17624487039304648,104.021
